system:index,occurrence,.geo
0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43774733287646,22.656275033485848]}"
1,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43801682746172,22.656275033485848]}"
2,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.656275033485848]}"
3,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.656005538900615]}"
4,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44205924624023,22.64899867968448]}"
5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.64899867968448]}"
6,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4423287408255,22.64872918509925]}"
7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.648190195928777]}"
8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44071177331406,22.647651206758304]}"
9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44098126789928,22.647651206758304]}"
10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44152025706975,22.647651206758304]}"
11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44125076248454,22.647381712173065]}"
12,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44152025706975,22.647381712173065]}"
13,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.647381712173065]}"
14,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44205924624023,22.647112217587832]}"
15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.647112217587832]}"
16,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.6468427230026]}"
17,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.6468427230026]}"
18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4355913761946,22.64657322841736]}"
19,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4358608707798,22.64657322841736]}"
20,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44152025706975,22.64657322841736]}"
21,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.64657322841736]}"
22,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4355913761946,22.646303733832127]}"
23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4355913761946,22.646034239246887]}"
24,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.645495250076415]}"
25,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4423287408255,22.645225755491182]}"
26,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.645225755491182]}"
27,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.645225755491182]}"
28,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44259823541071,22.644956260905943]}"
29,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.64441727173547]}"
30,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4242726036147,22.64441727173547]}"
31,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.64441727173547]}"
32,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.644147777150238]}"
33,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.644147777150238]}"
34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.643878282565005]}"
35,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.643608787979765]}"
36,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.643608787979765]}"
37,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44286772999592,22.643339293394533]}"
38,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.643339293394533]}"
39,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44313722458119,22.64280030422406]}"
40,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44933560004162,22.64280030422406]}"
41,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44960509462683,22.64280030422406]}"
42,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4498745892121,22.64280030422406]}"
43,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.45014408379731,22.64280030422406]}"
